구분,티커,종목명,신호일,진입일,진입가,현재가/청산가,청산일,모멘텀(%),수급빈집,우선순위(%),패턴,상태,손절가,익절가,손익률(%),보유일수
익절,099320.KS,쎄트렉아이,2026-01-09,2026-01-12,112000.0,186400.0,2026-01-30,,,,,,,,66.43,
익절,056190.KS,에스에프에이,2026-01-12,2026-01-13,23800.0,34450.0,2026-01-30,,,,,,,,44.75,
익절,045100.KS,한양이엔지,2026-01-09,2026-01-12,23600.0,31975.0,2026-01-30,,,,,,,,35.49,
익절,101490.KS,에스앤에스텍,2026-01-20,2026-01-21,64300.0,89200.0,2026-01-29,,,,,,,,38.72,
익절,166090.KS,하나머티리얼즈,2026-01-12,2026-01-13,47450.0,63700.0,2026-01-29,,,,,,,,34.25,
손절,348340.KS,뉴로메카,2026-01-21,2026-01-22,124000.0,95000.0,2026-01-28,,,,,,,,-23.39,
익절,022100.KS,포스코DX,2026-01-07,2026-01-08,28100.0,41875.0,2026-01-16,,,,,,,,49.02,
보유중,003690.KS,코리안리,2026-01-13,2026-01-14,10880.0,13320.0,,,,,,,8203.0,14706.0,22.43,75
보유중,086450.KS,동국제약,2026-03-04,2026-03-05,18860.0,23050.0,,,,,,,14219.0,25492.0,22.22,25
보유중,023160.KS,태광,2026-03-18,2026-03-19,28550.0,34800.0,,,,,,,21524.0,38590.0,21.89,11
보유중,052020.KS,에스티큐브,2026-03-17,2026-03-18,16110.0,19440.0,,,,,,,12146.0,21775.0,20.67,12
보유중,281820.KS,케이씨텍,2026-01-13,2026-01-14,40020.06544162592,48050.0,,,,,,,30172.0,54093.0,20.06,75
보유중,112610.KS,씨에스윈드,2026-02-26,2026-02-27,53000.0,63100.0,,,,,,,39958.0,71637.0,19.06,31
보유중,082640.KS,동양생명,2026-02-11,2026-02-12,7400.0,8770.0,,,,,,,5579.0,10002.0,18.51,46
보유중,278470.KS,에이피알,2026-01-29,2026-01-30,277500.0,326000.0,,,,,,,209213.0,375082.0,17.48,59
보유중,082920.KS,비츠로셀,2026-03-24,2026-03-25,31800.0,37150.0,,,,,,,23975.0,42982.0,16.82,5
보유중,047810.KS,한국항공우주,2026-01-12,2026-01-13,151700.0,174200.0,,,,,,,114370.0,205045.0,14.83,76
보유중,018670.KS,SK가스,2026-03-10,2026-03-11,229500.0,261000.0,,,,,,,173025.0,310203.0,13.73,19
보유중,005945.KS,NH투자증권우,2026-01-27,2026-01-28,22000.0,25000.0,,,,,,,16586.0,29736.0,13.64,61
보유중,071055.KS,한국금융지주우,2026-01-23,2026-01-26,136777.49656379668,154800.0,,,,,,,103119.0,184875.0,13.18,63
보유중,025860.KS,남해화학,2026-02-12,2026-02-13,7300.0,8260.0,,,,,,,5504.0,9867.0,13.15,45
보유중,000500.KS,가온전선,2026-01-13,2026-01-14,93423.35588126347,104200.0,,,,,,,70434.0,126275.0,11.54,75
